x	y	z	t	#
18.0531	-235.761	229.598	17.04	7
21.9061	-234.625	229.322	17.06	7
26.3904	-233.558	227.352	17.08	7
30.9937	-232.189	228.042	17.1	7
35.3111	-230.527	225.434	17.12	7
39.0842	-228.531	221.988	17.14	7
42.3974	-226.342	224.285	17.16	7
45.4632	-224.343	225.078	17.18	7
48.211	-222.389	224.636	17.2	7
50.5767	-220.399	227.41	17.22	7
52.6177	-218.272	232.024	17.24	7
54.2532	-215.889	240.887	17.26	7
55.5581	-213.769	246.924	17.28	7
57.0225	-212.361	248.959	17.3	7
59.0617	-211.529	253.545	17.32	7
61.7346	-210.814	259.448	17.34	7
64.9026	-210.105	267.303	17.36	7
-185.249	-221.401	512.871	17.36	8
68.3411	-209.532	275.26	17.38	7
-182.205	-219.02	507.212	17.38	8
71.9518	-209.163	278.059	17.4	7
-178.941	-216.875	500.413	17.4	8
75.5099	-208.717	282.749	17.42	7
-175.735	-214.792	492.897	17.42	8
78.8642	-207.998	289.805	17.44	7
-172.642	-213.255	487.036	17.44	8
82.0776	-207.054	292.132	17.46	7
-169.53	-212.266	480.725	17.46	8
85.1267	-206.004	293.642	17.48	7
-166.443	-211.768	477.127	17.48	8
87.9308	-205.102	297.51	17.5	7
-163.462	-211.674	475.066	17.5	8
90.5943	-204.381	307.409	17.52	7
-160.519	-211.656	469.334	17.52	8
94.8463	-203.862	271.699	17.54	7
-157.484	-211.444	462.193	17.54	8
99.8367	-203.808	230.984	17.56	7
-152.462	-208.989	452.11	17.56	8
102.973	-204.019	281.935	17.58	7
106.203	-203.435	338.901	17.6	7
113.018	-200.745	335.99	17.62	7
147.737	-200.382	465.386	17.62	9
-145.041	-203.083	448.095	17.66	8
138.824	-196.56	469.015	17.66	9
121.099	-196.937	334.814	17.68	7
123.611	-194.618	403.109	17.7	7
130.447	-194.57	441.06	17.7	9
122.012	-193.554	410.379	17.72	7
-140.702	-197.866	400.822	17.74	8
129.537	-195.566	401.893	17.74	9
-140.346	-197.066	392.635	17.76	8
132.45	-196.287	383.614	17.76	9
-137.822	-199.838	470.9	17.78	8
-82.203	-196.478	78.9466	17.78	10
-135.478	-203.82	539.806	17.8	8
135.187	-195.433	392.177	17.8	9
-76.6953	-190.628	89.7757	17.8	10
137.052	-193.826	407.551	17.82	9
-74.056	-187.055	97.7109	17.82	10
138.303	-191.791	420.645	17.84	9
-71.2731	-183.461	106.096	17.84	10
139.734	-189.243	422.036	17.86	9
141.621	-186.139	422.101	17.88	9
-67.9833	-180.679	116.938	17.88	10
144.103	-182.8	428.807	17.9	9
-65.0773	-181.276	124.993	17.9	10
147.284	-179.433	434.268	17.92	9
-63.0196	-185.196	131.14	17.92	10
150.918	-175.862	435.946	17.94	9
-61.6141	-190.762	138.457	17.94	10
154.662	-172.114	438.417	17.96	9
-60.6981	-196.744	141.492	17.96	10
158.731	-168.734	443.585	17.98	9
-60.2047	-202.331	141.094	17.98	10
163.327	-166.03	451.954	18	9
-60.3244	-208.048	146.268	18	10
168.065	-164.085	463.023	18.02	9
-61.0402	-214.944	153.91	18.02	10
172.568	-163.372	472.7	18.04	9
176.884	-164.455	477.53	18.06	9
180.93	-167.756	475.791	18.08	9
184.368	-172.914	477.538	18.1	9
-61.1135	-220.337	164.9	18.1	10
187.387	-179.236	485.277	18.12	9
-59.3457	-221.042	183.943	18.12	10
190.272	-186.577	491.015	18.14	9
-56.7012	-218.881	195.711	18.14	10
192.631	-194.646	500.026	18.16	9
